Sex,n,mean_height_m,std_height_m,min_height_m,q1_height_m,median_height_m,q3_height_m,max_height_m,mean_height_cm,std_height_cm,min_height_cm,median_height_cm,max_height_cm
Female,6490,1.6299,0.0738,1.27,1.57,1.63,1.68,1.98,162.9911,7.3767,127.0,163.0,198.0
Male,6572,1.7574,0.0838,1.35,1.7,1.75,1.8,2.11,175.7365,8.3771,135.0,175.0,211.0
